Series ID,Year,Period,Label,Value
WPU102302,1960,M01,1960 Jan,37.7
WPU102302,1960,M02,1960 Feb,37.7
WPU102302,1960,M03,1960 Mar,37.3
WPU102302,1960,M04,1960 Apr,36.9
WPU102302,1960,M05,1960 May,34.7
WPU102302,1960,M06,1960 Jun,34.1
WPU102302,1960,M07,1960 Jul,34.1
WPU102302,1960,M08,1960 Aug,34.1
WPU102302,1960,M09,1960 Sep,34.1
WPU102302,1960,M10,1960 Oct,33.0
WPU102302,1960,M11,1960 Nov,33.0
WPU102302,1960,M12,1960 Dec,32.6
WPU102302,1961,M01,1961 Jan,32.6
WPU102302,1961,M02,1961 Feb,32.6
WPU102302,1961,M03,1961 Mar,32.6
WPU102302,1961,M04,1961 Apr,32.6
WPU102302,1961,M05,1961 May,32.6
WPU102302,1961,M06,1961 Jun,32.6
WPU102302,1961,M07,1961 Jul,32.6
WPU102302,1961,M08,1961 Aug,32.6
WPU102302,1961,M09,1961 Sep,32.6
WPU102302,1961,M10,1961 Oct,31.5
WPU102302,1961,M11,1961 Nov,31.5
WPU102302,1961,M12,1961 Dec,31.5
WPU102302,1962,M01,1962 Jan,31.5
WPU102302,1962,M02,1962 Feb,31.5
WPU102302,1962,M03,1962 Mar,31.5
WPU102302,1962,M04,1962 Apr,31.5
WPU102302,1962,M05,1962 May,31.5
WPU102302,1962,M06,1962 Jun,30.5
WPU102302,1962,M07,1962 Jul,30.5
WPU102302,1962,M08,1962 Aug,30.5
WPU102302,1962,M09,1962 Sep,30.5
WPU102302,1962,M10,1962 Oct,29.4
WPU102302,1962,M11,1962 Nov,28.2
WPU102302,1962,M12,1962 Dec,28.2
WPU102302,1963,M01,1963 Jan,28.2
WPU102302,1963,M02,1963 Feb,28.8
WPU102302,1963,M03,1963 Mar,29.9
WPU102302,1963,M04,1963 Apr,30.9
WPU102302,1963,M05,1963 May,30.9
WPU102302,1963,M06,1963 Jun,32.2
WPU102302,1963,M07,1963 Jul,32.4
WPU102302,1963,M08,1963 Aug,32.4
WPU102302,1963,M09,1963 Sep,31.5
WPU102302,1963,M10,1963 Oct,31.5
WPU102302,1963,M11,1963 Nov,31.5
WPU102302,1963,M12,1963 Dec,31.5
WPU102302,1964,M01,1964 Jan,31.5
WPU102302,1964,M02,1964 Feb,31.5
WPU102302,1964,M03,1964 Mar,32.4
WPU102302,1964,M04,1964 Apr,32.6
WPU102302,1964,M05,1964 May,32.6
WPU102302,1964,M06,1964 Jun,32.6
WPU102302,1964,M07,1964 Jul,32.6
WPU102302,1964,M08,1964 Aug,32.6
WPU102302,1964,M09,1964 Sep,32.6
WPU102302,1964,M10,1964 Oct,32.6
WPU102302,1964,M11,1964 Nov,32.6
WPU102302,1964,M12,1964 Dec,32.6
WPU102302,1965,M01,1965 Jan,32.6
WPU102302,1965,M02,1965 Feb,33.8
WPU102302,1965,M03,1965 Mar,33.8
WPU102302,1965,M04,1965 Apr,33.8
WPU102302,1965,M05,1965 May,36.2
WPU102302,1965,M06,1965 Jun,37.3
WPU102302,1965,M07,1965 Jul,37.3
WPU102302,1965,M08,1965 Aug,37.3
WPU102302,1965,M09,1965 Sep,37.3
WPU102302,1965,M10,1965 Oct,35.8
WPU102302,1965,M11,1965 Nov,35.8
WPU102302,1965,M12,1965 Dec,33.9
WPU102302,1966,M01,1966 Jan,33.0
WPU102302,1966,M02,1966 Feb,33.0
WPU102302,1966,M03,1966 Mar,33.0
WPU102302,1966,M04,1966 Apr,33.0
WPU102302,1966,M05,1966 May,33.0
WPU102302,1966,M06,1966 Jun,32.3
WPU102302,1966,M07,1966 Jul,32.3
WPU102302,1966,M08,1966 Aug,32.3
